document.id,topic.id,method,score
3601,4.393,exact-match,0.0
3601,4.405,exact-match,0.0
3601,4.378,exact-match,0.0
3601,4.536,exact-match,0.0
3601,4.407,exact-match,0.0
3601,4.456,exact-match,0.0
3601,4.12,exact-match,0.0
3601,4.90,exact-match,0.0
3601,4.99,exact-match,0.0
3611,4.684,exact-match,0.0
3611,4.814,exact-match,0.0
3611,4.557,exact-match,0.0
3611,4.291,exact-match,0.0
3611,4.755,exact-match,0.0
3611,4.643,exact-match,0.0
3611,4.641,exact-match,0.0
3611,4.757,exact-match,0.0
3611,4.321,exact-match,0.0
3611,4.748,exact-match,0.0
3611,4.352,exact-match,0.0
3611,4.161,exact-match,0.0
3611,4.401,exact-match,0.0
3611,4.520,exact-match,0.0
3611,4.198,exact-match,0.0
3611,4.772,exact-match,0.0
3611,4.519,exact-match,0.0
3611,4.312,exact-match,0.0
3611,4.34,exact-match,0.0
3611,4.103,exact-match,0.0
3611,4.438,exact-match,0.0
3611,4.175,exact-match,0.0
3611,4.170,exact-match,0.0
3611,4.638,exact-match,0.0
3611,4.99,exact-match,0.0
3611,4.629,exact-match,0.0
3611,4.9,exact-match,0.0
3611,4.335,exact-match,0.0
3611,4.435,exact-match,0.0
3611,4.571,exact-match,0.0
3611,4.200,exact-match,0.0
3611,4.338,exact-match,0.0
3611,4.337,exact-match,0.0
3611,4.750,exact-match,0.0
3611,4.536,exact-match,0.0
3611,4.619,exact-match,0.0
3611,4.400,exact-match,0.0
3611,4.439,exact-match,0.0
3611,4.744,exact-match,0.0
3611,4.426,exact-match,0.0
3611,4.53,exact-match,0.0
3611,4.393,exact-match,0.0
3611,4.752,exact-match,0.0
3611,4.221,exact-match,0.0
3611,4.407,exact-match,0.0
3611,4.218,exact-match,0.0
3611,4.613,exact-match,0.0
3611,4.731,exact-match,0.0
3611,4.207,exact-match,0.0
3611,4.699,exact-match,0.0
3621,4.571,exact-match,0.0
3621,4.613,exact-match,0.0
3621,4.717,exact-match,0.0
3621,4.417,exact-match,0.0
3621,4.619,exact-match,0.0
3621,4.423,exact-match,0.0
3621,4.643,exact-match,0.0
3621,4.407,exact-match,0.0
3621,4.684,exact-match,0.0
3621,4.175,exact-match,0.0
3621,4.41,exact-match,0.0
3621,4.699,exact-match,0.0
3621,4.485,exact-match,0.0
3621,4.426,exact-match,0.0
3621,4.103,exact-match,0.0
3621,4.393,exact-match,0.0
3621,4.338,exact-match,0.0
3621,4.745,exact-match,0.0
3621,4.279,exact-match,0.0
3621,4.616,exact-match,0.0
3621,4.721,exact-match,0.0
3621,4.771,exact-match,0.0
3621,4.469,exact-match,0.0
3621,4.449,exact-match,0.0
3621,4.453,exact-match,0.0
3621,4.629,exact-match,0.0
3621,4.352,exact-match,0.0
3621,4.24,exact-match,0.0
3621,4.207,exact-match,0.0
3621,4.22,exact-match,0.0
3621,4.306,exact-match,0.0
3621,4.99,exact-match,0.0
3621,4.632,exact-match,0.0
3621,4.285,exact-match,0.0
3621,4.23,exact-match,0.0
3621,4.9,exact-match,0.0
3621,4.744,exact-match,0.0
3621,4.470,exact-match,0.0
3621,4.68,exact-match,0.0
3621,4.704,exact-match,0.0
3621,4.757,exact-match,0.0
3621,4.557,exact-match,0.0
3621,4.623,exact-match,0.0
3621,4.140,exact-match,0.0
3621,4.405,exact-match,0.0
3621,4.53,exact-match,0.0
3621,4.536,exact-match,0.0
3621,4.321,exact-match,0.0
3621,4.432,exact-match,0.0
3621,4.90,exact-match,0.0
3631,4.499,exact-match,0.0
3631,4.438,exact-match,0.0
3631,4.771,exact-match,0.0
3631,4.170,exact-match,0.0
3631,4.28,exact-match,0.0
3631,4.198,exact-match,0.0
3631,4.9,exact-match,0.0
3631,4.611,exact-match,0.0
3631,4.183,exact-match,0.0
3631,4.239,exact-match,0.0
3631,4.745,exact-match,0.0
3631,4.502,exact-match,0.0
3631,4.12,exact-match,0.0
3631,4.44,exact-match,0.0
3631,4.136,exact-match,0.0
3631,4.142,exact-match,0.0
3631,4.633,exact-match,0.0
3631,4.497,exact-match,0.0
3631,4.187,exact-match,0.0
3631,4.484,exact-match,0.0
3631,4.391,exact-match,0.0
3631,4.474,exact-match,0.0
3631,4.338,exact-match,0.0
3631,4.630,exact-match,0.0
3631,4.393,exact-match,0.0
3631,4.687,exact-match,0.0
3631,4.96,exact-match,0.0
3631,4.407,exact-match,0.0
3631,4.629,exact-match,0.0
3631,4.99,exact-match,0.0
3631,4.306,exact-match,0.0
3631,4.684,exact-match,0.0
3631,4.312,exact-match,0.0
3631,4.161,exact-match,0.0
3631,4.772,exact-match,0.0
3631,4.520,exact-match,0.0
3631,4.800,exact-match,0.0
3631,4.274,exact-match,0.0
3631,4.699,exact-match,0.0
3631,4.522,exact-match,0.0
3631,4.736,exact-match,0.0
3631,4.782,exact-match,0.0
3631,4.360,exact-match,0.0
3631,4.329,exact-match,0.0
3631,4.531,exact-match,0.0
3631,4.433,exact-match,0.0
3631,4.815,exact-match,0.0
3631,4.437,exact-match,0.0
3631,4.536,exact-match,0.0
3631,4.532,exact-match,0.0
3641,4.95,exact-match,0.0
3641,4.335,exact-match,0.0
3641,4.542,exact-match,0.0
3641,4.611,exact-match,0.0
3641,4.800,exact-match,0.0
3641,4.230,exact-match,0.0
3641,4.613,exact-match,0.0
3641,4.401,exact-match,0.0
3641,4.339,exact-match,0.0
3641,4.757,exact-match,0.0
3641,4.629,exact-match,0.0
3641,4.721,exact-match,0.0
3641,4.337,exact-match,0.0
3641,4.44,exact-match,0.0
3641,4.400,exact-match,0.0
3641,4.200,exact-match,0.0
3641,4.616,exact-match,0.0
3641,4.291,exact-match,0.0
3641,4.415,exact-match,0.0
3641,4.423,exact-match,0.0
3641,4.360,exact-match,0.0
3641,4.722,exact-match,0.0
3641,4.103,exact-match,0.0
3641,4.140,exact-match,0.0
3641,4.643,exact-match,0.0
3641,4.528,exact-match,0.0
3641,4.395,exact-match,0.0
3641,4.756,exact-match,0.0
3641,4.449,exact-match,0.0
3641,4.571,exact-match,0.0
3641,4.207,exact-match,0.0
3641,4.456,exact-match,0.0
3641,4.699,exact-match,0.0
3641,4.399,exact-match,0.0
3641,4.393,exact-match,0.0
3641,4.439,exact-match,0.0
3641,4.0,exact-match,0.0
3641,4.9,exact-match,0.0
3641,4.583,exact-match,0.0
3641,4.604,exact-match,0.0
3641,4.355,exact-match,0.0
3641,4.338,exact-match,0.0
3641,4.644,exact-match,0.0
3641,4.557,exact-match,0.0
3641,4.195,exact-match,0.0
3641,4.407,exact-match,0.0
3641,4.731,exact-match,0.0
3641,4.445,exact-match,0.0
3641,4.656,exact-match,0.0
3641,4.226,exact-match,0.0
3651,4.405,exact-match,0.0
3651,4.12,exact-match,0.0
3651,4.294,exact-match,0.0
3651,4.34,exact-match,0.0
3651,4.725,exact-match,0.0
3651,4.641,exact-match,0.0
3651,4.528,exact-match,0.0
3651,4.519,exact-match,0.0
3651,4.445,exact-match,0.0
3651,4.426,exact-match,0.0
3651,4.670,exact-match,0.0
3651,4.438,exact-match,0.0
3651,4.312,exact-match,0.0
3651,4.499,exact-match,0.0
3651,4.520,exact-match,0.0
3651,4.339,exact-match,0.0
3651,4.161,exact-match,0.0
3651,4.531,exact-match,0.0
